Problem,TTS_sim_cycles,TTS_prediced_us,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
C3_formula_0.cnf,110,11.495,00000000010000110001010000111011011110000000111010,8,91.96,,,,,,,,,,,,,,,,,,,,
C3_formula_1.cnf,9,0.9405,01110110001100001111011011010110110100111110101100,8,7.524,,,,,,,,,,,,,,,,,,,,
C3_formula_2.cnf,49,5.1205,11101100110110101010101100111010000101101001111010,8,40.964,,,,,,,,,,,,,,,,,,,,
C3_formula_3.cnf,24,2.508,11111111100011101001111000010101011010000001101001,8,20.064,,,,,,,,,,,,,,,,,,,,
C3_formula_4.cnf,47,4.9115,11101111000110010110010011111101001001111011100000,8,39.292,,,,,,,,,,,,,,,,,,,,
C3_formula_5.cnf,46,4.807,10001111000000110101001101100100001001101101010010,8,38.456,,,,,,,,,,,,,,,,,,,,
C3_formula_6.cnf,249,26.0205,11110001001000001100111111011010011000101011101111,8,208.164,,,,,,,,,,,,,,,,,,,,
C3_formula_7.cnf,48,5.016,00001100111110101100110110000000000001011010111001,8,40.128,,,,,,,,,,,,,,,,,,,,
C3_formula_8.cnf,27,2.8215,01011010100101101100100111010010101000100100010000,8,22.572,,,,,,,,,,,,,,,,,,,,
C3_formula_9.cnf,39,4.0755,00101001101101011001001101100011100011001001111000,8,32.604,,,,,,,,,,,,,,,,,,,,
C3_formula_10.cnf,53,5.5385,01101101000111010110110010000110011110000100010011,8,44.308,,,,,,,,,,,,,,,,,,,,
C3_formula_11.cnf,11,1.1495,10001101101100001010100010000000001110011001011010,8,9.196,,,,,,,,,,,,,,,,,,,,
C3_formula_12.cnf,35,3.6575,00000101001110001010010000001111011111000110011011,8,29.26,,,,,,,,,,,,,,,,,,,,
C3_formula_13.cnf,121,12.6445,10100010010000011100010110010000110000011101110010,8,101.156,,,,,,,,,,,,,,,,,,,,
C3_formula_14.cnf,76,7.942,00111101101010010000110101001000001100100111010000,8,63.536,,,,,,,,,,,,,,,,,,,,
C3_formula_15.cnf,62,6.479,01110010100110011011001011001000010100110110000001,8,51.832,,,,,,,,,,,,,,,,,,,,
C3_formula_16.cnf,33,3.4485,11010011101111001010001101000011101000011110101110,8,27.588,,,,,,,,,,,,,,,,,,,,
C3_formula_17.cnf,16,1.672,10010100010010000010111110011001100101011111010001,8,13.376,,,,,,,,,,,,,,,,,,,,
C3_formula_18.cnf,144,15.048,01011001000110100000100110110111111010010010111010,8,120.384,,,,,,,,,,,,,,,,,,,,
C3_formula_19.cnf,24,2.508,01000010101101101001000101010001110100010100100000,8,20.064,,,,,,,,,,,,,,,,,,,,
C3_formula_20.cnf,52,5.434,01001101101010100110000110110001110011001101011100,8,43.472,,,,,,,,,,,,,,,,,,,,
C3_formula_21.cnf,41,4.2845,01111101000000100100011100010001001000111110001100,8,34.276,,,,,,,,,,,,,,,,,,,,
C3_formula_22.cnf,106,11.077,01101111101000010010101001010001000111111100110100,8,88.616,,,,,,,,,,,,,,,,,,,,
C3_formula_23.cnf,152,15.884,01000001110010100110011100000110011011100001010110,8,127.072,,,,,,,,,,,,,,,,,,,,
C3_formula_24.cnf,7,0.7315,00100101110101111100100110010100001110010101101111,8,5.852,,,,,,,,,,,,,,,,,,,,
C3_formula_25.cnf,24,2.508,10011111100110001100011010111000010011010100010010,8,20.064,,,,,,,,,,,,,,,,,,,,
C3_formula_26.cnf,50,5.225,11100000111010010101000111111001101111111010110101,8,41.8,,,,,,,,,,,,,,,,,,,,
C3_formula_27.cnf,102,10.659,01111100001111110101111100101110111011011101101101,8,85.272,,,,,,,,,,,,,,,,,,,,
C3_formula_28.cnf,32,3.344,00100100000001110000100101000110011110001100011010,8,26.752,,,,,,,,,,,,,,,,,,,,
C3_formula_29.cnf,20,2.09,00001000001000010111110001101101001010000010110000,8,16.72,,,,,,,,,,,,,,,,,,,,
C3_formula_30.cnf,46,4.807,01111001101000111111011100000100111011110101010011,8,38.456,,,,,,,,,,,,,,,,,,,,
C3_formula_31.cnf,46,4.807,10111100000111000000100100111101101101101010011001,8,38.456,,,,,,,,,,,,,,,,,,,,
C3_formula_32.cnf,27,2.8215,11100110011110010000100101001111000101111101100010,8,22.572,,,,,,,,,,,,,,,,,,,,
C3_formula_33.cnf,41,4.2845,01110111100101110100110010010010000001010001100001,8,34.276,,,,,,,,,,,,,,,,,,,,
C3_formula_34.cnf,9,0.9405,10001100100011110110010110110101100011101101011000,8,7.524,,,,,,,,,,,,,,,,,,,,
C3_formula_35.cnf,45,4.7025,00010111001001011001010000011110101011111101100100,8,37.62,,,,,,,,,,,,,,,,,,,,
C3_formula_36.cnf,42,4.389,01110000101111110110000001111010110101011101101101,8,35.112,,,,,,,,,,,,,,,,,,,,
C3_formula_37.cnf,76,7.942,01111011100010110000001010001110010110010000111000,8,63.536,,,,,,,,,,,,,,,,,,,,
C3_formula_38.cnf,35,3.6575,01011000100100111010111111100000111001001011011100,8,29.26,,,,,,,,,,,,,,,,,,,,
C3_formula_39.cnf,32,3.344,01111000001010100101110101010010011101100000100101,8,26.752,,,,,,,,,,,,,,,,,,,,
C3_formula_40.cnf,72,7.524,11110001011101000111010001000101000110000101010000,8,60.192,,,,,,,,,,,,,,,,,,,,
C3_formula_41.cnf,25,2.6125,01000101001011000110011011101101100000110110000000,8,20.9,,,,,,,,,,,,,,,,,,,,
C3_formula_42.cnf,41,4.2845,11010110001101110100101100101000111000100100110100,8,34.276,,,,,,,,,,,,,,,,,,,,
C3_formula_43.cnf,897,93.7365,11010101001000011011010101010011010010111101101001,8,749.892,,,,,,,,,,,,,,,,,,,,
C3_formula_44.cnf,34,3.553,00011110100001001011000001011101000110001111100001,8,28.424,,,,,,,,,,,,,,,,,,,,
C3_formula_45.cnf,18,1.881,01001001100100011110110000001100101010111110001010,8,15.048,,,,,,,,,,,,,,,,,,,,
