Problem,TTS_sim_cycles,TTS_prediced,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
formula_0,166,17.347,1010100010110100011001011000101000000,4,69.388,,,,,,,,,,,,,,,,,,,,
formula_1,2570,268.565,101011010000000010101100000000000001000000101000000010100100010100000001010010100000010100010110100000010110010111001000101000001000001010000000011001100000000000,27.54,7396.2801,,,,,,,,,,,,,,,,,,,,
formula_2,6417,670.5765,101001110010100110100100000000000001000100101000000000100101010100000001010010100000010100010110100000001011110111001000101000000111101010000000011011100100000000,27.54,18467.67681,,,,,,,,,,,,,,,,,,,,
formula_3,10523,1099.6535,111010101011101000000011101000000001011010101001101000000100011010000000010010100000000010110110100000001000000101111000101000010010001001010000111011100000000000,27.54,30284.45739,,,,,,,,,,,,,,,,,,,,
formula_4,10630,1110.835,110111010000000011011100000000000001010100000001010010100101000000101001010010100000000010110110100000010101000101111000101000010000001001010000111011100000000000,27.54,30592.3959,,,,,,,,,,,,,,,,,,,,
formula_5,3957,413.5065,100010111010001010001010001000000001010100000000010010100101000000101001010010100000000010110110100000001101000101111000101000001010001001010000111011100000000000,27.54,11387.96901,,,,,,,,,,,,,,,,,,,,
formula_6,7960,831.82,110100110111010011010000000011010010010100001001010000000010100011000100000010100000010110110110100000010110010101111000101000001000001001010000111011100000000000,27.54,22908.3228,,,,,,,,,,,,,,,,,,,,
formula_7,15055,1573.2475,101111010000000010111100000000000001000000101001010010100100010100101001010010100000010110110110100000010110010101111000101000001000001001010000111011100000000000,27.54,43327.23615,,,,,,,,,,,,,,,,,,,,
formula_8,1484,155.078,100101110010010110010100000000000001000000001001010000100100010100101001010010100000010110110110100000001110010101111000101000011010001001010000111011100000000000,27.54,4270.84812,,,,,,,,,,,,,,,,,,,,
formula_9,8539,892.3255,1101010110011010101101010000000000000001001010000100101000010010100010010100101001010010100000000000011101101101000000000100111111011110001010000000000000011111100101000000010001010010000000,32.2,28732.8811,,,,,,,,,,,,,,,,,,,,
formula_10,7234,755.953,1100100111011001001100100110010000000001010001010100001001010010100001011010101001010010100000000000000011101101000000000101010000011111101010000000000001000000010101001000010001000000000000,32.2,24341.6866,,,,,,,,,,,,,,,,,,,,
formula_11,415,43.3675,1100001010000000001100001000000000000000101010000000000000000000000101000000000000000000000101000000000000000000101000000101010000000000011100100000000001000000010100000000010001000000000000,32.2,1396.4335,,,,,,,,,,,,,,,,,,,,
formula_12,107,11.1815,1110100011110110111001010101111100100,32.2,360.0443,,,,,,,,,,,,,,,,,,,,
formula_13,1101,115.0545,1111010110011110101111010000000000000001001101011010101000010010100001000100110101010010100000000000101000011101000000000100111100011111101010000000000001110010010101001000010001000000000000,32.2,3704.7549,,,,,,,,,,,,,,,,,,,,
formula_14,818,85.481,1110001010000000001110001000000000000000101010010100000000000000000101010100000000000000000101000000101000000000101000000100111100000000011100100000000001110010010100000000010001000000000000,32.2,2752.4882,,,,,,,,,,,,,,,,,,,,
formula_15,7055,737.2475,1101000101111010000000000110100011010000101010011010000001010000000001010100110101010010100000000000101000011101000000000010111100011111101010000000000000011110010101001000011001010000000000,32.2,23739.3695,,,,,,,,,,,,,,,,,,,,
formula_16,5297,553.5365,1011100101010111000000000101110000000000001101000100110101010010100000011010000001101010100000000000000101000011000000000100000000101000011010010000000000000000010100000010011001000000000000,32.2,17823.8753,,,,,,,,,,,,,,,,,,,,
formula_17,21905,2289.0725,1001001010000000001001001000000000000000100000000000101000000000000100000000101000000000000101000000000101000000101000000100000000101000011100100000000000000000010100000010011001000000000000,32.2,73708.1345,,,,,,,,,,,,,,,,,,,,
formula_18,626,65.417,1011110110110110101111010101100111100,4,261.668,,,,,,,,,,,,,,,,,,,,
formula_19,8981,938.5145,1111100101011111000000000111110000000000101101011010110101010010100000000100001001101010100000000000101101000011000000000011100100101000011010010000000001101000010100000010011001000000000000,32.2,30220.1669,,,,,,,,,,,,,,,,,,,,
formula_20,3400,355.3,1111001010000000001111001000000000000000101010010100101000000000000101010100101000000000000101000000101101000000101000000100111100101000011100100000000001110010010100000010011001000000000000,32.2,11440.66,,,,,,,,,,,,,,,,,,,,
formula_21,10638,1111.671,1010110110010101101010110000000000000000100010010100001001101010100001010100101000000011010000000000101101000000101000000010111100101000011100100000000000011110010100000010010101010000000000,32.2,35795.8062,,,,,,,,,,,,,,,,,,,,
formula_22,,0,,32.2,0,,,,,,,,,,,,,,,,,,,,
formula_23,1813,189.4585,1100101010000000001100101000000000000000101010000000000001010000000101000000000001010000000101000000000000101000101000000101010001110010011100100000000001000000010100000001010101000000000000,32.2,6100.5637,,,,,,,,,,,,,,,,,,,,
formula_24,6136,641.212,1011000101110110000000000101100010110000001101000100101001010000000000100110101010001010100000000000101011000011000000000101100101101001011010010000000000100000010100000001010101000000000000,32.2,20647.0264,,,,,,,,,,,,,,,,,,,,
formula_25,748,78.166,1101110110011011101101110000000000000001001010000100110101101010100010010100000000010011010000000000011000101000101000000100111111110010011100100000000000011111010100000011011101010010000000,32.2,2516.9452,,,,,,,,,,,,,,,,,,,,
formula_26,32975,3445.8875,1001101010000000001001101000000000000000100000000000101001010000000100000000101001010000000101000000000101101000101000000100000001011110011100100000000000000000011101000011011101000000000000,32.2,110957.5775,,,,,,,,,,,,,,,,,,,,
formula_27,,0,,32.2,0,,,,,,,,,,,,,,,,,,,,
formula_28,19826,2071.817,1010010101010100100000000101001000000000001101000000101000010000000100000100101001010000000101000000101101101000101000000101100101011110011100100000000000100000011101000011011101000000000000,32.2,66712.5074,,,,,,,,,,,,,,,,,,,,
formula_29,1616,168.872,1000100110110001001000100000000010001000100000000000001001010000000000010100101001010000000101000000101101101000101000000011100101011110011100100000000001101000011101000011011101000000000000,32.2,5437.6784,,,,,,,,,,,,,,,,,,,,
formula_30,1868,195.206,1000011010000000001000011000000000000000100000000000000000000010100100000000000000000010100101000000000000000101101000000100000000000000010111100000000000000000111110010000110011000000000000,32.2,6285.6332,,,,,,,,,,,,,,,,,,,,
formula_31,7894,824.923,1100001110011000011100001000000000000001001010000000000000000000100110000000000000000010100101000000101000000101101000000101100100000000010111100000000000100000111110010000110011000000000000,32.2,26562.5206,,,,,,,,,,,,,,,,,,,,
formula_32,4533,473.6985,1010011010000000001010011000000000000000100000010100000000000010100100010100000000000010100101000000101000000101101000000101100100000000010111100000000000100000111110010000110011000000000000,32.2,15253.0917,,,,,,,,,,,,,,,,,,,,
formula_33,5353,559.3885,1011100111010111001011100101110000000000101101011011001110001010100000000100110100010011010000000000101000011000101000000011100100011111111100100000000001101000111101001000110011000000000000,32.2,18012.3097,,,,,,,,,,,,,,,,,,,,
