Problem,TTS_sim_cycles,TTS_prediced_us,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
0.cnf,8611,899.8495,00000110101010110001110101001111011111101011101011,9,8098.6455,,,,,,,,,,,,,,,,,,,,
1.cnf,115,12.0175,11010100101010100000000000001101100111001111010111,9,108.1575,,,,,,,,,,,,,,,,,,,,
2.cnf,81,8.4645,00010011101111000101100111010100011110011000000001,9,76.1805,,,,,,,,,,,,,,,,,,,,
3.cnf,398,41.591,11010011010010010011000010011111100010100010111001,9,374.319,,,,,,,,,,,,,,,,,,,,
4.cnf,113,11.8085,01101011111011100111001110110011101011110001010011,9,106.2765,,,,,,,,,,,,,,,,,,,,
5.cnf,2408,251.636,11101000101011111111001011001100100101010100110101,9,2264.724,,,,,,,,,,,,,,,,,,,,
6.cnf,7139,746.0255,11010001000100010111010111011110111110000111100111,9,6714.2295,,,,,,,,,,,,,,,,,,,,
7.cnf,22,2.299,00010011010101111100011101111110001010011000000111,9,20.691,,,,,,,,,,,,,,,,,,,,
8.cnf,131,13.6895,01111111110001110001100011011000010111100000000001,9,123.2055,,,,,,,,,,,,,,,,,,,,
9.cnf,394,41.173,10111100000110111101001111001100100111100011011010,9,370.557,,,,,,,,,,,,,,,,,,,,
10.cnf,221,23.0945,00001000110110000001100000011101001000000100010011,9,207.8505,,,,,,,,,,,,,,,,,,,,
11.cnf,7215,753.9675,10011011100010010100100010011111100001010011010001,9,6785.7075,,,,,,,,,,,,,,,,,,,,
12.cnf,764,79.838,10111001110010110001100100111100110111100111111101,9,718.542,,,,,,,,,,,,,,,,,,,,
13.cnf,286,29.887,01110000011110100111011111001111101111111110111011,9,268.983,,,,,,,,,,,,,,,,,,,,
14.cnf,453,47.3385,10101101100011010111101110000010000011010011111011,9,426.0465,,,,,,,,,,,,,,,,,,,,
15.cnf,29,3.0305,01011111000010001111111101011110111001010101100010,9,27.2745,,,,,,,,,,,,,,,,,,,,
16.cnf,18,1.881,01100010100001001101010001100110000011111010100011,9,16.929,,,,,,,,,,,,,,,,,,,,
17.cnf,132,13.794,10001100111111010010101110101001101101000101101100,9,124.146,,,,,,,,,,,,,,,,,,,,
18.cnf,710,74.195,00111110111111011100110010110010001110110011111111,9,667.755,,,,,,,,,,,,,,,,,,,,
19.cnf,358,37.411,10100011011001011011001000100001001111010011110011,9,336.699,,,,,,,,,,,,,,,,,,,,
20.cnf,811,84.7495,10001101111001110010011101110000101011100111101111,9,762.7455,,,,,,,,,,,,,,,,,,,,
21.cnf,35,3.6575,11101110101110101100111010101111001010101111111010,9,32.9175,,,,,,,,,,,,,,,,,,,,
22.cnf,253,26.4385,10100101010101001001110110000001011111010111111001,9,237.9465,,,,,,,,,,,,,,,,,,,,
23.cnf,99,10.3455,11000111100111011011011011101010010000011100010110,9,93.1095,,,,,,,,,,,,,,,,,,,,
24.cnf,1016,106.172,11110111010000001110000111000000001010011110100100,9,955.548,,,,,,,,,,,,,,,,,,,,
25.cnf,87,9.0915,01000110011111100010011100111001001111110000000101,9,81.8235,,,,,,,,,,,,,,,,,,,,
26.cnf,1348,140.866,00101111100001000000010010110111001111111110001001,9,1267.794,,,,,,,,,,,,,,,,,,,,
27.cnf,510,53.295,00110011011101010100110011101001110110010100001100,9,479.655,,,,,,,,,,,,,,,,,,,,
28.cnf,173,18.0785,01100111110100000001011101011000001000001001110111,9,162.7065,,,,,,,,,,,,,,,,,,,,
29.cnf,399,41.6955,10011000110111011011100110000011110101100100010011,9,375.2595,,,,,,,,,,,,,,,,,,,,
30.cnf,678,70.851,01111011111010110011010001100110010001000010001010,9,637.659,,,,,,,,,,,,,,,,,,,,
31.cnf,54,5.643,00111101011011101001100010011010101010100100111001,9,50.787,,,,,,,,,,,,,,,,,,,,
32.cnf,761,79.5245,11100101011111001011001100001010011000111010110011,9,715.7205,,,,,,,,,,,,,,,,,,,,
